split,class_id,class_name,precision,recall,f1,AP50,mAP50_95
validation,0,Dead,1.0,0.9754,0.9875,0.985,0.9666
validation,1,Grass,0.9841,1.0,0.992,0.995,0.9253
validation,2,Healthy,0.9947,0.9923,0.9935,0.9949,0.989
validation,3,Small,0.9968,0.9838,0.9903,0.9948,0.9428
validation,4,Yellow,1.0,0.9916,0.9958,0.995,0.9833
test,0,Dead,0.9952,1.0,0.9976,0.995,0.9857
test,1,Grass,0.9727,0.9833,0.978,0.9918,0.9068
test,2,Healthy,0.9937,0.9944,0.9941,0.9949,0.989
test,3,Small,0.9982,0.9817,0.9899,0.9948,0.9414
test,4,Yellow,0.9939,1.0,0.9969,0.995,0.9732
