epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.992,1.27028,0.78283,1.397,0.89887,0.46008,0.52647,0.27158,1.5894,0.63445,1.61318,0.000166168,0.000166168,0.0669326
2,197.865,1.14018,0.58703,1.28406,0.88157,0.5823,0.71489,0.44098,1.16073,0.53173,1.25877,0.000332668,0.000332668,0.0337658
3,287.688,1.08914,0.53817,1.24957,0.87124,0.78649,0.8461,0.56614,0.98751,0.44602,1.15138,0.000498506,0.000498506,0.000598306
4,377.249,1.03084,0.4928,1.20768,0.81672,0.84775,0.87314,0.63079,0.91866,0.40815,1.11011,0.00049776,0.00049776,0.00049776
5,466.86,0.98237,0.46129,1.17451,0.91378,0.92395,0.95577,0.70528,0.85136,0.36728,1.07299,0.000496023,0.000496023,0.000496023
6,556.113,0.92682,0.43579,1.1385,0.937,0.91349,0.95902,0.70115,0.86038,0.36008,1.08292,0.000493795,0.000493795,0.000493795
7,645.266,0.86625,0.411,1.10248,0.95862,0.9444,0.97376,0.76923,0.74895,0.31985,1.01566,0.000491081,0.000491081,0.000491081
8,734.46,0.81071,0.3889,1.06935,0.93842,0.95642,0.97404,0.78812,0.68989,0.30488,0.9739,0.000487886,0.000487886,0.000487886
9,823.767,0.76848,0.37827,1.04517,0.96493,0.96472,0.9886,0.81846,0.59508,0.28054,0.92894,0.000484218,0.000484218,0.000484218
10,912.912,0.74448,0.36641,1.03069,0.96145,0.97939,0.9866,0.81543,0.64993,0.29562,0.954,0.000480083,0.000480083,0.000480083
11,1001.84,0.69669,0.34781,1.00494,0.97052,0.9835,0.98628,0.82916,0.55513,0.26904,0.9062,0.00047549,0.00047549,0.00047549
12,1091.1,0.6942,0.3474,1.00165,0.96802,0.97152,0.98809,0.8242,0.60354,0.27141,0.92636,0.000470447,0.000470447,0.000470447
13,1180.32,0.69137,0.34574,0.99994,0.94234,0.97756,0.99035,0.85234,0.4983,0.25793,0.87941,0.000464966,0.000464966,0.000464966
14,1269.37,0.64267,0.33303,0.97399,0.98315,0.97422,0.99095,0.84635,0.52822,0.25329,0.89252,0.000459057,0.000459057,0.000459057
15,1358.62,0.6433,0.3283,0.97366,0.9776,0.9771,0.99035,0.86791,0.46596,0.23786,0.86455,0.000452732,0.000452732,0.000452732
16,1447.48,0.61208,0.31707,0.95701,0.99104,0.97704,0.99081,0.86792,0.46713,0.23777,0.86569,0.000446003,0.000446003,0.000446003
17,1536.48,0.61875,0.31721,0.96197,0.97813,0.98001,0.99105,0.84347,0.57175,0.25581,0.90768,0.000438885,0.000438885,0.000438885
18,1625.33,0.60198,0.30684,0.94864,0.98557,0.98094,0.99126,0.88123,0.42069,0.22426,0.84118,0.000431392,0.000431392,0.000431392
19,1714.55,0.56694,0.29916,0.93526,0.98867,0.98301,0.99333,0.86602,0.45124,0.22612,0.85594,0.000423538,0.000423538,0.000423538
20,1803.36,0.55722,0.29629,0.93032,0.95998,0.98278,0.98169,0.86982,0.43539,0.22114,0.84802,0.00041534,0.00041534,0.00041534
21,1892.51,0.55448,0.29449,0.92638,0.97294,0.99185,0.99169,0.89035,0.38982,0.21066,0.83099,0.000406814,0.000406814,0.000406814
22,1981.37,0.57838,0.2996,0.94331,0.97421,0.984,0.99123,0.88311,0.44279,0.22328,0.85339,0.000397977,0.000397977,0.000397977
23,2070.46,0.54092,0.28659,0.92116,0.98247,0.98849,0.99111,0.88787,0.40156,0.20983,0.83113,0.000388847,0.000388847,0.000388847
24,2159.26,0.52932,0.2878,0.91859,0.98531,0.9827,0.99261,0.89046,0.40181,0.20938,0.8328,0.000379443,0.000379443,0.000379443
25,2248.24,0.54332,0.28738,0.92387,0.98953,0.98327,0.99215,0.89411,0.39909,0.20972,0.83167,0.000369782,0.000369782,0.000369782
26,2337.19,0.50966,0.27518,0.90684,0.97935,0.98691,0.99164,0.90918,0.34418,0.19033,0.8132,0.000359886,0.000359886,0.000359886
27,2426.34,0.50372,0.27307,0.90516,0.9845,0.98826,0.99214,0.91286,0.34913,0.19375,0.81388,0.000349774,0.000349774,0.000349774
